voter_id,age,ip_address,device_id,login_attempts,vote_duration_sec,location_match,previous_votes,is_fraud
V0047,50,192.168.0.24,DV1649,7,109,1,0,1
V0320,49,192.168.7.89,DV1158,5,27,0,0,1
V1672,76,192.168.6.83,DV1449,3,68,1,0,0
V1645,22,192.168.5.123,DV1653,4,55,0,0,1
V1107,51,192.168.5.201,DV1363,1,101,1,1,1
V1876,26,192.168.5.246,DV1873,6,118,1,1,1
V1488,81,192.168.9.238,DV1557,2,84,1,0,0
V0527,82,192.168.4.217,DV1174,3,40,0,3,1
V1420,18,192.168.3.7,DV1232,7,52,0,2,1
V0974,89,192.168.9.177,DV1851,2,56,1,0,0
V1278,78,192.168.3.40,DV1938,4,3,0,2,1
V0487,27,192.168.8.242,DV1919,2,46,1,0,0
V0960,66,192.168.1.2,DV1419,5,56,0,3,1
V0410,61,192.168.10.196,DV1049,1,15,1,0,0
V1530,21,192.168.3.13,DV1845,1,20,0,2,1
V0769,38,192.168.0.89,DV1700,6,48,1,1,1
V2047,61,192.168.0.70,DV1767,8,87,0,2,1
V0941,84,192.168.10.86,DV1421,6,86,1,3,1
V1782,47,192.168.2.128,DV1192,1,30,1,3,1
V1487,29,192.168.1.23,DV1665,1,81,1,0,0
V2305,30,192.168.6.193,DV1953,1,42,1,0,0
V0100,49,192.168.4.170,DV1595,6,63,1,3,1
V1398,89,192.168.6.103,DV1621,5,29,0,0,1
V1179,26,192.168.10.161,DV1099,1,64,1,0,0
V1035,48,192.168.4.142,DV1393,5,84,1,0,1
V0622,82,192.168.10.8,DV1832,7,101,0,0,1
V1800,41,192.168.4.185,DV1668,2,110,1,0,0
V0956,36,192.168.6.95,DV1395,6,4,1,2,1
V0856,65,192.168.1.149,DV1493,2,21,1,3,1
V1759,53,192.168.2.145,DV1323,7,31,0,2,1
V0209,70,192.168.5.174,DV1612,1,104,1,0,0
V1237,90,192.168.7.118,DV1473,1,97,0,2,1
V0864,32,192.168.9.45,DV1931,3,87,1,2,1
V1899,53,192.168.10.230,DV1331,1,21,0,1,1
V0560,85,192.168.9.186,DV1578,4,88,1,0,1
V0613,50,192.168.3.30,DV1185,1,111,1,0,0
V1434,32,192.168.0.234,DV1357,6,111,0,2,1
V2350,37,192.168.1.214,DV1922,3,63,1,0,0
V1952,64,192.168.2.246,DV1172,6,5,0,1,1
V0997,76,192.168.1.32,DV1256,8,66,0,1,1
V1167,40,192.168.0.32,DV1473,6,27,1,0,1
V2973,45,192.168.7.105,DV1921,2,67,1,0,0
V2949,27,192.168.5.170,DV1265,1,85,1,0,0
V1452,68,192.168.5.250,DV1132,2,45,1,0,0
V1726,84,192.168.9.65,DV1483,8,29,1,1,1
V1841,80,192.168.10.44,DV1891,8,25,1,3,1
V1206,23,192.168.9.151,DV1193,5,104,0,2,1
V1150,59,192.168.2.7,DV1730,1,41,1,0,0
V1756,58,192.168.9.161,DV1988,1,101,0,0,1
V1760,43,192.168.2.251,DV1302,5,92,1,2,1
V2500,29,192.168.0.199,DV1362,3,61,1,0,0
V1670,63,192.168.7.234,DV1418,8,97,1,2,1
V0385,21,192.168.9.227,DV1202,8,78,1,3,1
V2473,50,192.168.8.249,DV1298,3,41,1,0,0
V0012,25,192.168.3.211,DV1032,6,54,1,0,1
V1410,90,192.168.7.242,DV1746,3,85,1,0,0
V1488,81,192.168.9.238,DV1557,2,84,1,0,0
V0148,67,192.168.7.28,DV1242,7,76,1,2,1
V1091,42,192.168.0.54,DV1492,3,86,0,3,1
V1594,76,192.168.1.145,DV1398,1,77,1,0,0
V2088,89,192.168.2.201,DV1279,6,65,1,1,1
V1356,53,192.168.6.134,DV1964,4,42,0,2,1
V1424,40,192.168.6.136,DV1342,3,89,1,1,1
V1332,79,192.168.10.180,DV1444,5,76,0,0,1
V0685,25,192.168.3.209,DV1260,8,110,0,3,1
V1748,37,192.168.2.223,DV1871,3,13,1,0,0
V1142,47,192.168.6.87,DV1553,1,88,1,2,1
V1612,84,192.168.4.26,DV1120,8,32,0,2,1
V1162,51,192.168.7.70,DV1251,6,46,0,3,1
V0293,31,192.168.9.190,DV1600,4,34,0,1,1
V1479,37,192.168.7.240,DV1151,8,113,1,0,1
V1508,61,192.168.5.124,DV1628,1,23,1,0,0
V0267,58,192.168.5.250,DV1408,3,100,1,0,0
V2501,85,192.168.7.144,DV1061,3,99,1,0,0
V1359,72,192.168.10.131,DV1954,3,64,1,0,0
V0908,77,192.168.10.169,DV1213,5,9,0,0,1
V0256,26,192.168.4.102,DV1734,8,70,1,3,1
V1489,55,192.168.6.55,DV1228,8,73,1,0,1
V1223,77,192.168.5.203,DV1087,6,111,0,3,1
V2454,51,192.168.9.13,DV1743,3,113,1,0,0
V1406,50,192.168.0.138,DV1673,2,95,1,2,1
V1659,55,192.168.3.85,DV1248,6,32,1,2,1
V1700,87,192.168.0.244,DV1739,1,105,1,0,0
V0281,90,192.168.4.122,DV1835,1,50,1,0,0
V1008,21,192.168.10.88,DV1389,2,57,1,2,1
V1160,38,192.168.8.145,DV1071,5,14,1,0,1
V0638,41,192.168.8.246,DV1415,1,115,1,0,0
V1095,24,192.168.5.3,DV1105,7,56,1,2,1
V2006,78,192.168.7.28,DV1114,4,7,1,1,1
V0495,77,192.168.4.58,DV1857,5,75,0,1,1
V0440,71,192.168.5.70,DV1845,2,76,1,0,0
V1338,64,192.168.8.44,DV1433,1,34,1,0,0
V1140,66,192.168.7.214,DV1737,3,100,0,3,1
V1487,29,192.168.1.23,DV1665,1,81,1,0,0
V1089,79,192.168.7.178,DV1414,8,41,1,3,1
V0518,34,192.168.10.45,DV1615,1,31,1,2,1
V1582,68,192.168.2.104,DV1686,1,62,1,0,0
V1101,55,192.168.6.246,DV1426,6,104,1,1,1
V1069,21,192.168.4.175,DV1696,2,53,1,0,0
V2072,73,192.168.10.232,DV1176,3,78,0,1,1
V1254,39,192.168.0.107,DV1524,2,107,1,2,1
V0840,87,192.168.3.45,DV1678,2,97,1,0,0
V0478,57,192.168.4.33,DV1181,1,92,1,0,0
V0236,41,192.168.2.17,DV1733,8,7,1,1,1
V0421,62,192.168.6.81,DV1810,3,34,1,0,0
V1488,81,192.168.9.238,DV1557,2,84,1,0,0
V1996,27,192.168.3.127,DV1211,1,8,1,1,1
V1992,85,192.168.0.49,DV1969,2,42,0,2,1
V1451,29,192.168.4.3,DV1365,5,53,0,2,1
V1394,64,192.168.7.162,DV1734,2,119,1,0,0
V1164,18,192.168.0.173,DV1177,7,74,1,3,1
V2013,89,192.168.2.37,DV1560,6,10,0,0,1
V0534,25,192.168.0.116,DV1280,4,100,0,1,1
V0783,43,192.168.3.17,DV1181,8,113,1,2,1
V1306,75,192.168.1.124,DV1678,4,34,0,1,1
V0142,21,192.168.0.84,DV1815,1,40,1,2,1
V1330,19,192.168.1.30,DV1084,2,65,0,0,1
V1041,76,192.168.0.196,DV1053,3,83,1,1,1
V0634,64,192.168.9.184,DV1836,2,87,0,3,1
V0440,71,192.168.5.70,DV1845,2,76,1,0,0
V0191,46,192.168.6.253,DV1613,1,3,0,2,1
V1744,30,192.168.5.235,DV1259,1,80,1,0,0
V0417,29,192.168.1.27,DV1320,6,115,1,1,1
V1123,45,192.168.1.131,DV1565,5,69,1,1,1
V0923,71,192.168.0.11,DV1481,1,57,1,3,1
V0884,20,192.168.7.39,DV1668,1,7,1,2,1
V1820,21,192.168.9.58,DV1141,2,79,1,0,0
V0570,32,192.168.1.195,DV1674,4,3,1,2,1
V0830,29,192.168.6.101,DV1183,8,81,1,2,1
V0120,73,192.168.10.209,DV1503,2,63,1,3,1
V2446,67,192.168.0.252,DV1164,2,101,1,0,0
V0119,23,192.168.2.121,DV1531,8,120,1,1,1
V0303,83,192.168.5.23,DV1410,2,26,0,3,1
V1741,21,192.168.5.219,DV1477,6,96,1,1,1
V1357,70,192.168.5.217,DV1092,2,12,0,0,1
V0858,87,192.168.9.80,DV1627,1,118,1,0,0
V2351,39,192.168.5.9,DV1545,3,90,1,0,0
V0185,18,192.168.2.223,DV1146,7,11,0,0,1
V1820,21,192.168.9.58,DV1141,2,79,1,0,0
V0352,53,192.168.8.145,DV1673,1,25,1,0,0
V0558,66,192.168.5.157,DV1029,3,64,1,0,0
V0449,28,192.168.9.25,DV1517,3,84,1,0,0
V0836,62,192.168.9.148,DV1130,2,54,0,2,1
V1932,53,192.168.5.3,DV1652,2,69,1,0,0
V0416,33,192.168.6.178,DV1135,8,12,0,3,1
V1637,86,192.168.0.170,DV1312,1,72,1,0,0
V1849,42,192.168.1.232,DV1924,3,69,1,0,0
V0766,55,192.168.10.99,DV1236,7,68,0,2,1
V0324,58,192.168.9.154,DV1791,6,33,1,1,1
V0500,23,192.168.6.21,DV1699,7,28,0,2,1
V1149,50,192.168.1.40,DV1314,7,89,0,0,1
V0547,81,192.168.3.156,DV1204,5,109,0,2,1
V1114,28,192.168.4.96,DV1732,7,49,0,1,1
V2840,78,192.168.6.24,DV1929,1,73,1,0,0
V0824,77,192.168.0.27,DV1533,5,5,1,1,1
V1049,85,192.168.6.198,DV1942,8,108,1,0,1
V0585,25,192.168.4.53,DV1771,1,48,1,0,0
V2500,29,192.168.0.199,DV1362,3,61,1,0,0
V0182,31,192.168.5.217,DV1569,6,17,1,1,1
V0352,53,192.168.8.145,DV1673,1,25,1,0,0
V1138,45,192.168.2.210,DV1757,8,3,0,2,1
V1671,79,192.168.2.188,DV1187,2,22,0,2,1
V1849,42,192.168.1.232,DV1924,3,69,1,0,0
V1869,82,192.168.7.220,DV1280,2,12,0,1,1
V0465,67,192.168.2.108,DV1204,4,83,0,3,1
V0457,51,192.168.2.8,DV1974,7,112,1,1,1
V1955,61,192.168.8.91,DV1406,3,120,1,0,0
V1032,70,192.168.4.221,DV1603,1,65,1,0,0
V1458,19,192.168.2.197,DV1891,5,73,0,3,1
V0613,50,192.168.3.30,DV1185,1,111,1,0,0
V0951,32,192.168.7.231,DV1041,3,89,0,2,1
V0724,20,192.168.6.92,DV1741,3,35,0,3,1
V0408,63,192.168.1.204,DV1547,7,30,1,1,1
V1183,58,192.168.1.201,DV1130,1,120,1,0,0
V1037,56,192.168.1.240,DV1842,4,41,0,1,1
V1176,46,192.168.0.72,DV1940,7,71,1,2,1
V0201,27,192.168.2.244,DV1791,8,62,1,2,1
V0165,42,192.168.1.243,DV1868,8,14,0,0,1
V2939,0,127.0.0.1,DV7992,1,0,1,0,0
V1219,43,192.168.10.85,DV1256,5,98,1,1,1
V1427,37,192.168.10.38,DV1327,3,52,1,3,1
V0762,86,192.168.3.53,DV1559,5,73,1,1,1
V0338,51,192.168.8.240,DV1598,7,40,0,1,1
V1379,49,192.168.9.40,DV1746,3,34,1,0,0
V1524,23,192.168.4.108,DV1122,2,60,0,2,1
V0676,68,192.168.10.199,DV1178,8,18,1,2,1
V1484,76,192.168.6.106,DV1360,6,109,1,2,1
V1866,70,192.168.5.166,DV1824,3,61,1,0,0
V0291,36,192.168.4.11,DV1294,2,47,1,2,1
V0777,21,192.168.5.226,DV1996,7,55,1,3,1
V1587,32,192.168.1.1,DV1156,2,69,0,1,1
V0868,51,192.168.1.14,DV1171,8,54,1,2,1
V1355,71,192.168.7.47,DV1449,6,105,1,2,1
V0378,75,192.168.5.101,DV1474,3,47,0,3,1
V0393,54,192.168.2.48,DV1322,8,82,0,2,1
V1148,50,192.168.1.30,DV1101,3,39,0,1,1
V2087,25,192.168.7.64,DV1228,1,44,1,3,1
V1393,86,192.168.2.12,DV1130,4,56,1,2,1
V2840,78,192.168.6.24,DV1929,1,73,1,0,0
V1937,81,192.168.6.108,DV1058,2,113,1,2,1
V0617,90,192.168.9.94,DV1827,6,57,0,0,1
V1150,59,192.168.2.7,DV1730,1,41,1,0,0
V1736,18,192.168.5.20,DV1917,1,20,1,3,1
V0019,38,192.168.7.1,DV1976,5,67,0,0,1
V1343,88,192.168.4.67,DV1390,3,54,1,0,0
V0211,60,192.168.1.150,DV1679,3,120,1,2,1
V2454,51,192.168.9.13,DV1743,3,113,1,0,0
V0785,68,192.168.9.241,DV1760,1,69,0,3,1
V1362,85,192.168.3.45,DV1076,6,110,0,2,1
V2802,83,192.168.8.163,DV1907,1,71,1,0,0
V0691,38,192.168.5.59,DV1321,6,86,1,2,1
V1686,78,192.168.2.125,DV1833,3,96,1,2,1
V0281,90,192.168.4.122,DV1835,1,50,1,0,0
V1823,76,192.168.5.186,DV1895,4,25,1,1,1
V1849,42,192.168.1.232,DV1924,3,69,1,0,0
V1425,56,192.168.9.210,DV1293,6,115,0,2,1
V0704,19,192.168.6.205,DV1299,4,104,0,2,1
V1461,78,192.168.4.196,DV1897,8,86,0,0,1
V1607,73,192.168.8.208,DV1808,4,14,0,0,1
V0228,37,192.168.8.241,DV1744,7,17,1,1,1
V1800,41,192.168.4.185,DV1668,2,110,1,0,0
V1700,87,192.168.0.244,DV1739,1,105,1,0,0
V2714,48,192.168.1.35,DV1429,2,52,1,0,0
V1871,49,192.168.4.253,DV1621,7,10,0,0,1
V1295,19,192.168.0.69,DV1769,1,88,0,0,1
V0078,18,192.168.5.77,DV1771,7,112,1,1,1
V0192,45,192.168.2.196,DV1261,5,44,0,0,1
V0449,28,192.168.9.25,DV1517,3,84,1,0,0
V1181,60,192.168.8.204,DV1242,2,102,1,0,0
V0649,66,192.168.10.53,DV1704,6,55,1,0,1
V1795,22,192.168.9.29,DV1365,1,71,1,1,1
V0867,67,192.168.3.170,DV1450,3,29,1,0,0
V1793,65,192.168.4.109,DV1345,5,101,0,2,1
V2010,62,192.168.7.52,DV1923,1,53,1,1,1
V2034,63,192.168.3.191,DV1154,4,42,0,2,1
V2805,54,192.168.7.250,DV1980,3,116,1,0,0
V1903,32,192.168.2.8,DV1509,4,42,1,2,1
V1519,45,192.168.10.96,DV1380,3,102,1,0,0
V1383,29,192.168.0.98,DV1417,5,92,0,1,1
V0403,55,192.168.4.147,DV1273,2,20,1,0,0
V1581,49,192.168.9.132,DV1382,3,82,1,0,0
V1359,72,192.168.10.131,DV1954,3,64,1,0,0
V1477,73,192.168.5.234,DV1709,7,108,0,1,1
V1691,80,192.168.7.204,DV1645,7,79,1,3,1
V0136,82,192.168.9.85,DV1890,2,114,1,0,0
V1748,37,192.168.2.223,DV1871,3,13,1,0,0
V0656,73,192.168.1.17,DV1269,4,50,0,0,1
V0225,21,192.168.5.239,DV1101,6,104,0,1,1
V0367,31,192.168.2.78,DV1006,7,45,1,2,1
V0521,83,192.168.10.248,DV1863,6,74,1,2,1
V1437,65,192.168.0.180,DV1108,2,64,0,0,1
V1541,64,192.168.6.250,DV1463,4,102,1,1,1
V1738,67,192.168.7.91,DV1319,6,70,0,1,1
V1913,72,192.168.5.170,DV1148,1,98,1,0,0
V0424,24,192.168.3.127,DV1395,2,33,1,0,0
V1457,44,192.168.9.156,DV1076,3,75,1,0,0
V1002,33,192.168.6.116,DV1322,7,59,1,0,1
V1900,90,192.168.0.33,DV1531,3,20,1,0,0
V0339,60,192.168.3.98,DV1583,4,66,1,2,1
V1972,38,192.168.3.64,DV1615,3,109,0,0,1
V1821,59,192.168.9.64,DV1170,8,90,0,2,1
V1227,35,192.168.2.251,DV1975,6,75,1,3,1
V0782,22,192.168.6.196,DV1992,1,37,1,1,1
V2617,35,192.168.4.102,DV1491,3,99,1,0,0
V1105,63,192.168.10.41,DV1178,1,106,0,2,1
V0403,55,192.168.4.147,DV1273,2,20,1,0,0
V0795,75,192.168.4.161,DV1185,2,118,0,1,1
V0474,40,192.168.5.16,DV1022,3,78,0,0,1
V1820,21,192.168.9.58,DV1141,2,79,1,0,0
V0673,18,192.168.8.246,DV1043,8,50,1,3,1
V2939,0,127.0.0.1,DV7992,1,0,1,0,0
V2613,52,192.168.7.131,DV1319,3,11,1,0,0
V0535,80,192.168.1.34,DV1629,7,84,1,3,1
V1583,28,192.168.0.70,DV1849,2,45,0,2,1
V0267,58,192.168.5.250,DV1408,3,100,1,0,0
V1491,68,192.168.0.241,DV1383,4,67,1,2,1
V1700,87,192.168.0.244,DV1739,1,105,1,0,0
V1343,88,192.168.4.67,DV1390,3,54,1,0,0
V0003,47,192.168.8.155,DV1027,4,94,1,1,1
V0600,23,192.168.4.230,DV1667,4,44,0,0,1
V1021,84,192.168.3.94,DV1473,3,33,0,2,1
V0542,33,192.168.5.183,DV1666,1,51,1,0,0
V2351,39,192.168.5.9,DV1545,3,90,1,0,0
V1967,62,192.168.7.223,DV1723,3,11,1,0,0
V0410,61,192.168.10.196,DV1049,1,15,1,0,0
V0858,87,192.168.9.80,DV1627,1,118,1,0,0
V0449,28,192.168.9.25,DV1517,3,84,1,0,0
V1372,73,192.168.0.92,DV1904,4,17,0,2,1
V1478,27,192.168.10.149,DV1631,3,44,1,0,0
V0932,89,192.168.1.144,DV1726,4,20,1,1,1
V1551,68,192.168.1.57,DV1751,5,66,0,1,1
V0818,70,192.168.1.128,DV1898,4,50,1,2,1
V0897,57,192.168.1.117,DV1625,3,109,0,0,1
V0933,87,192.168.1.167,DV1489,4,99,0,2,1
V0041,48,192.168.4.102,DV1134,5,61,1,0,1
V0873,48,192.168.10.151,DV1788,4,69,1,1,1
V1449,42,192.168.8.52,DV1653,1,33,1,0,0
V0528,34,192.168.4.186,DV1827,3,90,1,0,0
V1324,79,192.168.4.230,DV1148,4,30,0,0,1
V0981,26,192.168.4.171,DV1010,2,103,0,1,1
V1471,58,192.168.9.9,DV1615,7,10,1,3,1
V0995,81,192.168.4.196,DV1730,5,99,1,2,1
V1359,72,192.168.10.131,DV1954,3,64,1,0,0
V0292,79,192.168.3.52,DV1847,5,74,1,1,1
V1702,64,192.168.8.51,DV1160,7,113,0,2,1
V2714,48,192.168.1.35,DV1429,2,52,1,0,0
V0224,68,192.168.8.96,DV1241,7,13,1,1,1
V2022,70,192.168.8.219,DV1232,7,19,1,1,1
V0460,27,192.168.0.17,DV1202,8,106,0,0,1
V1093,20,192.168.1.43,DV1924,3,97,1,3,1
V1772,83,192.168.2.237,DV1307,4,75,0,1,1
V1556,51,192.168.1.44,DV1695,1,79,1,3,1
V1744,30,192.168.5.235,DV1259,1,80,1,0,0
V0581,40,192.168.8.139,DV1710,6,93,0,2,1
V0528,34,192.168.4.186,DV1827,3,90,1,0,0
V0767,80,192.168.9.137,DV1090,3,28,1,0,0
V2939,0,127.0.0.1,DV7992,1,0,1,0,0
V0674,53,192.168.7.47,DV1782,5,53,0,1,1
V0502,84,192.168.7.235,DV1894,1,103,1,0,0
V0801,38,192.168.10.73,DV1625,3,61,1,0,0
V0867,67,192.168.3.170,DV1450,3,29,1,0,0
V1824,59,192.168.2.76,DV1066,1,29,1,3,1
V1707,52,192.168.1.20,DV1075,7,5,0,1,1
V2305,30,192.168.6.193,DV1953,1,42,1,0,0
V1301,83,192.168.6.170,DV1192,1,84,1,0,0
V1637,86,192.168.0.170,DV1312,1,72,1,0,0
V0872,52,192.168.4.206,DV1100,5,86,1,3,1
V1866,70,192.168.5.166,DV1824,3,61,1,0,0
V0794,38,192.168.2.46,DV1787,1,56,1,2,1
V0088,31,192.168.9.7,DV1951,5,76,1,3,1
V2038,49,192.168.1.170,DV1968,3,119,1,0,0
V0489,60,192.168.3.250,DV1194,7,92,1,2,1
V1294,53,192.168.1.88,DV1030,4,64,1,0,1
V0563,39,192.168.1.193,DV1503,6,33,1,2,1
V1016,29,192.168.9.25,DV1606,6,37,0,3,1
V0894,23,192.168.6.31,DV1216,8,89,0,1,1
